session,type,onset_index,length_samples,runway_samples,runway_sec,affected,zone,application,mobility,congestion
A-Youtube-No-No@17695591904,Faulty Handover Algorithm (Too Frequent),1495,38,95,9.5,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",A,Youtube,No,No
A-Twitch-No-No@17883072768,High Network Congestion (Sudden Spike),121,200,121,12.1,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",A,Twitch,No,No
A-Twitch-No-No@17883072768,Co-Channel Interference (Mild),364,778,43,4.3,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",A,Twitch,No,No
A-Twitch-No-No@17883074560,Antenna Failure,115,105,115,11.5,"['RSRP', 'DL_BLER', 'DL_MCS', 'UL_BLER', 'UL_MCS', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRBs_DL_Current', 'PRBs_UL_Current', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",A,Twitch,No,No
A-Twitch-No-No@17883075744,High Network Congestion (Sudden Spike),117,106,117,11.7,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",A,Twitch,No,No
A-Twitch-No-No@17883075744,Faulty Handover Algorithm (Too Frequent),293,41,70,7.0,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",A,Twitch,No,No
A-Twitch-No-No@17883075744,High Network Congestion (Gradual Buildup),450,250,116,11.6,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",A,Twitch,No,No
A-Twitch-No-No@17883077216,Co-Channel Interference (Severe),99,128,99,9.9,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",A,Twitch,No,No
A-Twitch-No-No@17883078368,Antenna Failure,113,168,113,11.3,"['RSRP', 'DL_BLER', 'DL_MCS', 'UL_BLER', 'UL_MCS', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRBs_DL_Current', 'PRBs_UL_Current', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",A,Twitch,No,No
A-Twitch-No-No@17883079488,Faulty RF Filters (Temporal),111,162,111,11.1,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",A,Twitch,No,No
A-Twitch-No-No@17883080160,Antenna Failure,123,214,123,12.3,"['RSRP', 'DL_BLER', 'DL_MCS', 'UL_BLER', 'UL_MCS', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRBs_DL_Current', 'PRBs_UL_Current', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",A,Twitch,No,No
B-Youtube-No-No@18149184128,High Network Congestion (Gradual Buildup),116,39,116,11.6,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",B,Youtube,No,No
B-Youtube-No-No@18149184128,Co-Channel Interference (Mild),247,97,92,9.2,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",B,Youtube,No,No
B-Youtube-No-No@18149184128,Faulty Handover Algorithm (Too Frequent),417,2,73,7.3,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",B,Youtube,No,No
B-Youtube-No-No@18149185120,High Network Congestion (Gradual Buildup),111,64,111,11.1,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",B,Youtube,No,No
B-Youtube-No-No@18149187296,High Network Congestion (Sudden Spike),120,44,120,12.0,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",B,Youtube,No,No
B-Youtube-No-No@18149187648,High Network Congestion (Gradual Buildup),115,653,115,11.5,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",B,Youtube,No,No
B-Youtube-No-No@18149187648,Antenna Failure,791,49,23,2.3,"['RSRP', 'DL_BLER', 'DL_MCS', 'UL_BLER', 'UL_MCS', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRBs_DL_Current', 'PRBs_UL_Current', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",B,Youtube,No,No
B-Youtube-No-No@18149189664,High Network Congestion (Sudden Spike),123,36,123,12.3,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",B,Youtube,No,No
B-Youtube-No-No@18149192640,Buffer Overflow (Gradual Buildup),98,383,98,9.8,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",B,Youtube,No,No
C-Youtube-No-No@19068480032,High Network Congestion (Gradual Buildup),106,211,106,10.6,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",C,Youtube,No,No
C-Youtube-No-No@19068480640,High Network Congestion (Gradual Buildup),97,228,97,9.7,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",C,Youtube,No,No
C-Youtube-No-No@19068481728,Buffer Overflow (Gradual Buildup),122,136,122,12.2,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",C,Youtube,No,No
C-Youtube-No-No@19068482144,Co-Channel Interference (Mild),118,401,118,11.8,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",C,Youtube,No,No
C-Youtube-No-No@19068482144,Co-Channel Interference (Mild),680,37,161,16.1,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",C,Youtube,No,No
C-Youtube-No-No@19068483424,High Network Congestion (Sudden Spike),109,68,109,10.9,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",C,Youtube,No,No
C-Youtube-No-No@19068483424,Co-Channel Interference (Mild),194,435,17,1.7,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",C,Youtube,No,No
C-Youtube-No-No@19068483424,Co-Channel Interference (Severe),786,47,157,15.7,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",C,Youtube,No,No
C-Youtube-No-No@19068483424,Antenna Failure,1046,160,213,21.3,"['RSRP', 'DL_BLER', 'DL_MCS', 'UL_BLER', 'UL_MCS', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRBs_DL_Current', 'PRBs_UL_Current', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",C,Youtube,No,No
C-Youtube-No-No@19068484832,Co-Channel Interference (Mild),122,590,122,12.2,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",C,Youtube,No,No
C-Youtube-No-No@19068487456,Buffer Overflow (Gradual Buildup),110,205,110,11.0,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",C,Youtube,No,No
C-Youtube-No-No@19068487456,Antenna Failure,473,122,158,15.8,"['RSRP', 'DL_BLER', 'DL_MCS', 'UL_BLER', 'UL_MCS', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRBs_DL_Current', 'PRBs_UL_Current', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",C,Youtube,No,No
B-Twitch-No-No@19606752128,Doppler Shift (Severe),117,224,117,11.7,"['RSRP', 'DL_MCS', 'UL_MCS', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes']",B,Twitch,No,No
B-Twitch-No-No@19606753888,Faulty Handover Algorithm (Too Frequent),115,255,115,11.5,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",B,Twitch,No,No
B-Twitch-No-No@19606753888,Doppler Shift (Severe),388,92,18,1.8,"['RSRP', 'DL_MCS', 'UL_MCS', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes']",B,Twitch,No,No
B-Twitch-No-No@19606755008,Buffer Overflow (Gradual Buildup),98,552,98,9.8,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",B,Twitch,No,No
B-Twitch-No-No@19606756000,Doppler Shift (Severe),122,145,122,12.2,"['RSRP', 'DL_MCS', 'UL_MCS', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes']",B,Twitch,No,No
B-Twitch-No-No@19606756896,Faulty Handover Algorithm (Too Frequent),100,116,100,10.0,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",B,Twitch,No,No
B-Twitch-No-No@19606758016,Buffer Overflow (Gradual Buildup),103,244,103,10.3,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",B,Twitch,No,No
B-Twitch-No-No@19606758688,Faulty RF Filters (Temporal),123,153,123,12.3,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",B,Twitch,No,No
B-Twitch-No-No@19606760640,High Network Congestion (Sudden Spike),102,156,102,10.2,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",B,Twitch,No,No
B-Twitch-No-No@19606760640,Co-Channel Interference (Severe),369,79,111,11.1,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",B,Twitch,No,No
B-Twitch-No-No@19606761696,High Network Congestion (Gradual Buildup),106,182,106,10.6,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",B,Twitch,No,No
C-File-No-No@20501856064,Resource Allocation Bugs,117,35,117,11.7,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'PRBs_DL_Current', 'PRBs_UL_Current', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",C,File,No,No
C-File-No-No@20501856064,Antenna Failure,248,214,96,9.6,"['RSRP', 'DL_BLER', 'DL_MCS', 'UL_BLER', 'UL_MCS', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRBs_DL_Current', 'PRBs_UL_Current', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",C,File,No,No
C-File-No-No@20501856960,Antenna Failure,108,224,108,10.8,"['RSRP', 'DL_BLER', 'DL_MCS', 'UL_BLER', 'UL_MCS', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRBs_DL_Current', 'PRBs_UL_Current', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",C,File,No,No
C-File-No-No@20501857504,Doppler Shift (Severe),118,64,118,11.8,"['RSRP', 'DL_MCS', 'UL_MCS', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes']",C,File,No,No
C-File-No-No@20501857952,Antenna Failure,107,418,107,10.7,"['RSRP', 'DL_BLER', 'DL_MCS', 'UL_BLER', 'UL_MCS', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRBs_DL_Current', 'PRBs_UL_Current', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",C,File,No,No
C-File-No-No@20501858816,Faulty RF Filters (Temporal),118,271,118,11.8,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",C,File,No,No
C-File-No-No@20501859680,High Network Congestion (Sudden Spike),122,114,122,12.2,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",C,File,No,No
C-File-No-No@20501859680,Faulty RF Filters (Temporal),424,250,188,18.8,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",C,File,No,No
C-File-No-No@20501859680,Buffer Overflow (Gradual Buildup),798,342,124,12.4,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",C,File,No,No
C-File-No-No@20501862400,Faulty Handover Algorithm (Too Frequent),102,256,102,10.2,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",C,File,No,No
C-File-No-No@20501863328,Buffer Overflow (Gradual Buildup),109,39,109,10.9,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",C,File,No,No
C-File-No-No@20501864096,Faulty Handover Algorithm (Too Frequent),96,5,96,9.6,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",C,File,No,No
C-File-No-No@20501864576,Doppler Shift (Severe),124,167,124,12.4,"['RSRP', 'DL_MCS', 'UL_MCS', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes']",C,File,No,No
C-File-No-No@20501865024,Co-Channel Interference (Mild),104,238,104,10.4,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",C,File,No,No
B-File-No-No@20798208672,Faulty RF Filters (Temporal),106,440,106,10.6,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",B,File,No,No
B-File-No-No@20798208672,Resource Allocation Bugs,641,217,95,9.5,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'PRBs_DL_Current', 'PRBs_UL_Current', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",B,File,No,No
B-File-No-No@20798208672,Co-Channel Interference (Severe),967,532,109,10.9,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",B,File,No,No
B-File-No-No@20798208672,Resource Allocation Bugs,1650,132,151,15.1,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'PRBs_DL_Current', 'PRBs_UL_Current', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",B,File,No,No
B-File-No-No@20798208672,Faulty Handover Algorithm (Too Frequent),1912,76,130,13.0,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",B,File,No,No
B-File-No-No@20798211456,Faulty RF Filters (Temporal),122,35,122,12.2,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",B,File,No,No
B-File-No-No@20798211456,Faulty Handover Algorithm (Too Frequent),281,57,124,12.4,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",B,File,No,No
B-File-No-No@20798211456,Co-Channel Interference (Mild),516,222,178,17.8,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",B,File,No,No
B-File-No-No@20798213088,Co-Channel Interference (Severe),111,285,111,11.1,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",B,File,No,No
B-File-No-No@20798213088,Faulty Handover Algorithm (Too Frequent),417,136,21,2.1,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",B,File,No,No
B-File-No-No@20798213088,Doppler Shift (Severe),623,237,70,7.0,"['RSRP', 'DL_MCS', 'UL_MCS', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes']",B,File,No,No
B-File-No-No@20798215040,Faulty RF Filters (Temporal),115,175,115,11.5,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",B,File,No,No
B-File-No-No@20798215936,Antenna Failure,113,60,113,11.3,"['RSRP', 'DL_BLER', 'DL_MCS', 'UL_BLER', 'UL_MCS', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRBs_DL_Current', 'PRBs_UL_Current', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",B,File,No,No
